header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
67,1,1.1,-3.78427130545973e-11,-1.81144468107561e-09,0.4630746173,2.13445164206014e-11,1.22372677274299e-06,1,-1.03284566716439e-09
68,1,1.1166666667,-3.84276058700378e-11,-1.83905534672598e-09,0.4698227991,1.69679276849272e-11,1.17802101278569e-06,1,-8.22578664091694e-10
69,1,1.1333333333,-3.89241191560789e-11,-1.86238192298511e-09,0.4764468579,1.28441243027381e-11,1.13280046896264e-06,1,-6.24182457826496e-10
70,1,1.15,-3.93537125710224e-11,-1.88245677857225e-09,0.4829455249,9.03241804642705e-12,1.08810743769199e-06,1,-4.40523490928402e-10
71,1,1.1666666667,-3.97362043302242e-11,-1.90023476004057e-09,0.4893176881,5.58204444533872e-12,1.04398108486587e-06,1,-2.73989261392349e-10
72,1,1.1833333333,-4.00895212279106e-11,-1.91658106651432e-09,0.4955623874,2.53191913938473e-12,1.00045754732848e-06,1,-1.26476059044799e-10
73,1,1.2,-4.04295017824410e-11,-1.93226165333275e-09,0.5016788099,-8.93920944450914e-14,9.57570034661947e-07,1,6.13424326602685e-13
74,1,1.2166666667,-4.07697524903965e-11,-1.94793616866781e-09,0.507666285,-2.26351029357574e-12,9.15348931057934e-07,1,1.06363284873053e-10
75,1,1.2333333333,-4.11215562242264e-11,-1.96415338186473e-09,0.5135242802,-3.98190834042726e-12,8.73821896883444e-07,1,1.90329074052950e-10
76,1,1.25,-4.14938309603348e-11,-1.98134902038369e-09,0.519252396,-5.24541524068255e-12,8.33013970110097e-07,1,2.52514700019630e-10
77,1,1.2666666667,-4.18931362375247e-11,-1.99984589424751e-09,0.5248503618,-6.06357605921316e-12,7.92947667178690e-07,1,2.93342725147717e-10
78,1,1.2833333333,-4.23237240418891e-11,-2.01985615436235e-09,0.5303180313,-6.45389546182512e-12,7.53643083026633e-07,1,3.13618763771153e-10
79,1,1.3,-4.27876302415421e-11,-2.04148550231466e-09,0.5356553778,-6.44098507557341e-12,7.15117990285148e-07,1,3.14491118440238e-10
80,1,1.3166666667,-4.32848022225065e-11,-2.06473914588513e-09,0.5408624901,-6.05563147879785e-12,6.77387937391766e-07,1,2.97406728845319e-10
81,1,1.3333333333,-4.38132579906007e-11,-2.08952927643194e-09,0.5459395683,-5.33380932669485e-12,6.40466345542686e-07,1,2.64064458378172e-10
82,1,1.35,-4.43692717347031e-11,-2.11568383124475e-09,0.5508869191,-4.31566328369365e-12,6.04364604227825e-07,1,2.16366756315420e-10
83,1,1.3666666667,-4.49475806934450e-11,-2.14295629595330e-09,0.5557049521,-3.04448069927691e-12,5.69092165198576e-07,1,1.56370627066287e-10
84,1,1.3833333333,-4.55416081206716e-11,-2.17103629869963e-09,0.5603941754,-1.56567222162177e-12,5.34656634947896e-07,1,8.62389450772604e-11
85,1,1.4,-4.61436971845627e-11,-2.19956074940183e-09,0.5649551916,7.42215549359359e-14,5.01063865356624e-07,1,8.19294565993061e-12
86,1,1.4166666667,-4.67453507619561e-11,-2.22812528320594e-09,0.5693886936,1.82848321666253e-12,4.68318042486437e-07,1,-7.55333271788567e-11
87,1,1.4333333333,-4.73374722903461e-11,-2.25629577683278e-09,0.5736954613,3.65111038834216e-12,4.36421773552730e-07,1,-1.62735927360219e-10
88,1,1.45,-4.79106031396155e-11,-2.28361971963131e-09,0.5778763569,5.49763552547671e-12,4.05376171766438e-07,1,-2.51280497762431e-10
89,1,1.4666666667,-4.84551523200772e-11,-2.30963723791541e-09,0.5819323217,7.32587020144148e-12,3.75180939095683e-07,1,-3.39138005341758e-10
90,1,1.4833333333,-4.89616147240730e-11,-2.33389158985070e-09,0.5858643721,9.09655499340085e-12,3.45834446907827e-07,1,-4.24416272267013e-10
91,1,1.5,-4.94207745621696e-11,-2.35593896904306e-09,0.5896735964,1.07739136652866e-11,3.17333814489207e-07,1,-5.05386961105458e-10
92,1,1.5166666667,-4.98238911335531e-11,-2.37535747763281e-09,0.5933611503,1.23261094642866e-11,2.89674985204220e-07,1,-5.80507796419321e-10
93,1,1.5333333333,-5.01628645626416e-11,-2.39175515353367e-09,0.5969282544,1.37255962508612e-11,2.62852800424319e-07,1,-6.48439882372421e-10
94,1,1.55,-5.04303796570071e-11,-2.40477696101595e-09,0.6003761902,1.49493717523923e-11,2.36861071175795e-07,1,-7.08060202958117e-10
95,1,1.5666666667,-5.06200265405228e-11,-2.41411067814758e-09,0.6037062968,1.59791273606694e-11,2.11692647450249e-07,1,-7.58469345100953e-10
96,1,1.5833333333,-5.07263972353620e-11,-2.41949163876071e-09,0.6069199677,1.68013000622044e-11,1.87339485230029e-07,1,-7.98994565843085e-10
97,1,1.6,-5.07451578624535e-11,-2.42070631022121e-09,0.6100186476,1.74070367970859e-11,1.63792711133884e-07,1,-8.29188487188166e-10
98,1,1.6166666667,-5.06730965814168e-11,-2.41759471062136e-09,0.613003829,1.77920716990081e-11,1.41042684766692e-07,1,-8.48823682960083e-10
